spend_id,movie_id,campaign,channel,spend_date,amount,impressions,clicks
s1,m1,Stellar Run Launch,Search,2025-01-15,50682.8,1313714,77423
s2,m1,Stellar Run Launch,Social,2025-01-15,118981.8,3683516,212575
s3,m1,Stellar Run Launch,Streaming Promo,2025-01-15,130233.6,3942994,119182
s4,m1,Stellar Run Launch,Search,2025-02-15,47299.0,1170096,72449
s5,m1,Stellar Run Launch,Social,2025-02-15,152140.8,2958393,152249
s6,m1,Stellar Run Launch,Streaming Promo,2025-02-15,101514.0,3026703,220143
s7,m1,Stellar Run Launch,Search,2025-03-15,102215.4,3555858,154956
s8,m1,Stellar Run Launch,Social,2025-03-15,55042.4,1709396,52359
s9,m1,Stellar Run Launch,Streaming Promo,2025-03-15,74001.2,1947623,83114
s10,m1,Stellar Run Launch,Search,2025-04-15,149493.4,3956235,225243
s11,m1,Stellar Run Launch,Social,2025-04-15,127537.2,3040673,255526
s12,m1,Stellar Run Launch,Streaming Promo,2025-04-15,128304.4,2348021,239871
s13,m1,Stellar Run Launch,Search,2025-05-15,118015.8,3448579,207651
s14,m1,Stellar Run Launch,Social,2025-05-15,133000.0,3456259,211091
s15,m1,Stellar Run Launch,Streaming Promo,2025-05-15,56681.8,1508509,76403
s16,m1,Stellar Run Launch,Search,2025-06-15,93576.0,2339662,82256
s17,m1,Stellar Run Launch,Social,2025-06-15,72815.4,1617189,124318
s18,m1,Stellar Run Launch,Streaming Promo,2025-06-15,136729.6,2658571,241079
s19,m1,Stellar Run Launch,Search,2025-07-15,117614.0,2317109,205254
s20,m1,Stellar Run Launch,Social,2025-07-15,89649.0,2370717,173564
s21,m1,Stellar Run Launch,Streaming Promo,2025-07-15,150465.0,3576879,249886
s22,m1,Stellar Run Launch,Search,2025-08-15,125449.8,3271675,137196
s23,m1,Stellar Run Launch,Social,2025-08-15,42067.2,1223151,51430
s24,m1,Stellar Run Launch,Streaming Promo,2025-08-15,83032.6,2105663,129192
s25,m1,Stellar Run Launch,Search,2025-09-15,140746.2,4573853,291284
s26,m1,Stellar Run Launch,Social,2025-09-15,131882.8,4002966,116562
s27,m1,Stellar Run Launch,Streaming Promo,2025-09-15,64818.6,1568134,65262
s28,m1,Stellar Run Launch,Search,2025-10-15,73064.6,2305170,90217
s29,m1,Stellar Run Launch,Social,2025-10-15,117068.0,3221363,165134
s30,m1,Stellar Run Launch,Streaming Promo,2025-10-15,146710.2,4899555,158855
s31,m1,Stellar Run Launch,Search,2025-11-15,44570.4,1102993,88059
s32,m1,Stellar Run Launch,Social,2025-11-15,53792.2,1184111,86033
s33,m1,Stellar Run Launch,Streaming Promo,2025-11-15,119795.2,4056253,183375
s34,m1,Stellar Run Launch,Search,2025-12-15,108642.8,2709810,218161
