row_id,movie_id,city,month,views,completion_rate,revenue
rp1,m1,New York,2025-01,5545,0.526,17082.3
rp2,m1,Los Angeles,2025-01,5511,0.774,22313.55
rp3,m1,Chicago,2025-01,3788,0.57,12793.88
rp4,m1,Austin,2025-01,3685,0.556,9459.62
rp5,m1,Seattle,2025-01,3991,0.856,13097.9
rp6,m1,Miami,2025-01,1021,0.879,3655.14
rp7,m1,New York,2025-02,3020,0.506,14316.3
rp8,m1,Los Angeles,2025-02,3960,0.56,17525.66
rp9,m1,Chicago,2025-02,3909,0.529,17244.4
rp10,m1,Austin,2025-02,4582,0.591,18842.95
rp11,m1,Seattle,2025-02,5171,0.717,21796.42
rp12,m1,Miami,2025-02,3880,0.622,15520.1
rp13,m1,New York,2025-03,2952,0.492,12311.95
rp14,m1,Los Angeles,2025-03,1920,0.679,4731.26
rp15,m1,Chicago,2025-03,2533,0.633,10208.22
rp16,m1,Austin,2025-03,2328,0.601,9069.33
rp17,m1,Seattle,2025-03,1734,0.744,6325.42
rp18,m1,Miami,2025-03,4970,0.797,14336.64
rp19,m1,New York,2025-04,6591,0.832,17702.91
rp20,m1,Los Angeles,2025-04,5807,0.606,19181.73
rp21,m1,Chicago,2025-04,5130,0.494,14489.61
rp22,m1,Austin,2025-04,3804,0.834,10628.17
rp23,m1,Seattle,2025-04,4885,0.534,20115.14
rp24,m1,Miami,2025-04,5366,0.786,20204.35
rp25,m1,New York,2025-05,7917,0.716,26179.26
rp26,m1,Los Angeles,2025-05,5250,0.787,16183.91
rp27,m1,Chicago,2025-05,1901,0.491,4768.25
rp28,m1,Austin,2025-05,4691,0.62,19612.78
rp29,m1,Seattle,2025-05,1585,0.786,6182.08
rp30,m1,Miami,2025-05,4820,0.519,15560.61
rp31,m1,New York,2025-06,5989,0.526,16813.94
rp32,m1,Los Angeles,2025-06,7741,0.61,27141.36
rp33,m1,Chicago,2025-06,5592,0.707,25518.44
rp34,m1,Austin,2025-06,4060,0.488,14320.76
rp35,m1,Seattle,2025-06,1658,0.874,5482.29
rp36,m1,Miami,2025-06,5276,0.609,13899.84
rp37,m1,New York,2025-07,7234,0.868,20864.45
rp38,m1,Los Angeles,2025-07,2681,0.816,9882.17
rp39,m1,Chicago,2025-07,4560,0.586,14197.87
rp40,m1,Austin,2025-07,7569,0.641,22268.95
rp41,m1,Seattle,2025-07,2506,0.767,9491.89
rp42,m1,Miami,2025-07,7761,0.615,19879.39
rp43,m1,New York,2025-08,5237,0.646,15726.9
rp44,m1,Los Angeles,2025-08,8520,0.661,36058.87
rp45,m1,Chicago,2025-08,3661,0.832,14302.89
rp46,m1,Austin,2025-08,7418,0.825,28072.86
rp47,m1,Seattle,2025-08,4023,0.744,17610.2
rp48,m1,Miami,2025-08,6871,0.587,27010.06
rp49,m1,New York,2025-09,9045,0.779,38326.13
rp50,m1,Los Angeles,2025-09,15099,0.644,67408.67
rp51,m1,Chicago,2025-09,4757,0.734,21075.04
rp52,m1,Austin,2025-09,9328,0.809,36850.29
rp53,m1,Seattle,2025-09,9091,0.755,26970.38
rp54,m1,Miami,2025-09,8686,0.525,24847.16
