review_id,viewer_id,movie_id,review_date,rating,sentiment,comment
r3,v46,m3,2025-10-25,4.5,positive,Demo internal review summary
r6,v112,m6,2025-01-01,3.0,neutral,Demo internal review summary
r9,v130,m3,2025-06-08,3.4,neutral,Demo internal review summary
r12,v1,m5,2025-06-05,4.1,positive,Demo internal review summary
r15,v44,m7,2025-12-04,3.4,neutral,Demo internal review summary
r18,v19,m5,2025-08-22,3.1,neutral,Demo internal review summary
r21,v109,m7,2025-04-23,3.6,neutral,Demo internal review summary
r24,v130,m5,2025-08-07,3.8,neutral,Demo internal review summary
r27,v113,m3,2025-02-09,3.7,neutral,Demo internal review summary
r30,v85,m4,2025-10-05,3.3,neutral,Demo internal review summary
r33,v77,m3,2025-07-19,2.9,negative,Demo internal review summary
r36,v104,m7,2025-03-26,3.6,neutral,Demo internal review summary
r39,v119,m7,2025-04-04,3.5,neutral,Demo internal review summary
r42,v90,m1,2025-04-25,5,positive,Demo internal review summary
r45,v145,m1,2025-04-22,4.5,positive,Demo internal review summary
r48,v51,m4,2025-02-08,2.5,negative,Demo internal review summary
r51,v110,m5,2025-12-05,3.7,neutral,Demo internal review summary
r54,v134,m6,2025-11-30,2.7,negative,Demo internal review summary
r57,v116,m3,2025-05-05,3.4,neutral,Demo internal review summary
r60,v71,m6,2025-10-12,2.5,negative,Demo internal review summary
r63,v5,m7,2025-02-17,3.6,neutral,Demo internal review summary
r66,v79,m3,2025-05-09,3.4,neutral,Demo internal review summary
r69,v135,m6,2025-11-02,3.0,neutral,Demo internal review summary
r72,v33,m3,2025-11-23,3.4,neutral,Demo internal review summary
r75,v123,m7,2025-02-28,3.1,neutral,Demo internal review summary
r78,v58,m5,2025-09-25,3.8,neutral,Demo internal review summary
r81,v21,m6,2025-03-22,2.8,negative,Demo internal review summary
r84,v60,m6,2025-05-16,2.8,negative,Demo internal review summary
r87,v43,m1,2025-06-07,5,positive,Demo internal review summary
r90,v111,m1,2025-06-15,4.2,positive,Demo internal review summary
r93,v45,m1,2025-08-29,4.8,positive,Demo internal review summary
r96,v42,m1,2025-06-18,4.3,positive,Demo internal review summary
r99,v132,m7,2025-01-01,3.6,neutral,Demo internal review summary
r102,v113,m3,2025-12-24,3.8,neutral,Demo internal review summary
r105,v31,m4,2025-11-28,3.2,neutral,Demo internal review summary
r108,v131,m5,2025-03-11,3.6,neutral,Demo internal review summary
r111,v126,m5,2025-03-18,3.4,neutral,Demo internal review summary
r114,v82,m1,2025-08-31,5,positive,Demo internal review summary
r117,v135,m1,2025-08-22,3.8,neutral,Demo internal review summary
r120,v137,m7,2025-07-14,4.2,positive,Demo internal review summary
r123,v26,m1,2025-08-16,4.6,positive,Demo internal review summary
r126,v47,m7,2025-03-29,3.7,neutral,Demo internal review summary
r129,v66,m4,2025-12-08,3.5,neutral,Demo internal review summary
r132,v99,m2,2025-09-05,3.6,neutral,Demo internal review summary
r135,v13,m5,2025-11-07,3.9,neutral,Demo internal review summary
r138,v11,m6,2025-06-08,2.4,negative,Demo internal review summary
r141,v136,m3,2025-09-14,3.8,neutral,Demo internal review summary
r144,v102,m6,2025-10-13,3.8,neutral,Demo internal review summary
r147,v28,m3,2025-12-12,2.8,negative,Demo internal review summary
r150,v10,m1,2025-06-05,3.6,neutral,Demo internal review summary
r153,v107,m2,2025-12-02,3.1,neutral,Demo internal review summary
r156,v140,m3,2025-11-27,2.9,negative,Demo internal review summary
r159,v86,m1,2025-05-05,4.8,positive,Demo internal review summary
r162,v139,m2,2025-05-09,5,positive,Demo internal review summary
r165,v108,m2,2025-09-27,3.2,neutral,Demo internal review summary
r168,v123,m1,2025-07-25,4.6,positive,Demo internal review summary
r171,v150,m6,2025-10-08,3.5,neutral,Demo internal review summary
r174,v87,m4,2025-08-21,2.8,negative,Demo internal review summary
r177,v22,m1,2025-02-17,4.4,positive,Demo internal review summary
r180,v109,m7,2025-01-27,2.8,negative,Demo internal review summary
r183,v143,m7,2025-07-08,2.9,negative,Demo internal review summary
r186,v8,m3,2025-04-03,3.4,neutral,Demo internal review summary
r189,v24,m1,2025-09-29,4.2,positive,Demo internal review summary
r192,v114,m3,2025-12-05,3.9,neutral,Demo internal review summary
r195,v125,m6,2025-09-27,3.1,neutral,Demo internal review summary
r198,v128,m1,2025-08-09,5,positive,Demo internal review summary
r201,v112,m1,2025-01-10,5,positive,Demo internal review summary
r204,v118,m7,2025-12-20,3.3,neutral,Demo internal review summary
r207,v57,m3,2025-06-20,3.5,neutral,Demo internal review summary
r210,v45,m2,2025-11-05,4.1,positive,Demo internal review summary
r213,v83,m6,2025-11-18,3.3,neutral,Demo internal review summary
r216,v74,m3,2025-02-09,4.0,positive,Demo internal review summary
r219,v49,m6,2025-06-14,2.9,negative,Demo internal review summary
r222,v134,m5,2025-11-09,4.0,positive,Demo internal review summary
r225,v25,m3,2025-10-13,3.8,neutral,Demo internal review summary
r228,v101,m6,2025-03-08,3.9,neutral,Demo internal review summary
r231,v135,m6,2025-02-17,2.7,negative,Demo internal review summary
r234,v26,m7,2025-09-17,3.8,neutral,Demo internal review summary
r237,v43,m7,2025-08-13,3.6,neutral,Demo internal review summary
r240,v119,m4,2025-05-25,2.4,negative,Demo internal review summary
r243,v27,m5,2025-12-31,3.6,neutral,Demo internal review summary
r246,v14,m4,2025-07-22,3.7,neutral,Demo internal review summary
r249,v121,m7,2025-12-23,3.1,neutral,Demo internal review summary
r252,v78,m2,2025-03-04,4.2,positive,Demo internal review summary
r255,v37,m2,2025-05-30,3.7,neutral,Demo internal review summary
r258,v6,m5,2025-07-19,4.4,positive,Demo internal review summary
r261,v27,m6,2025-10-25,3.1,neutral,Demo internal review summary
r264,v76,m1,2025-04-14,4.9,positive,Demo internal review summary
r267,v92,m3,2025-01-25,3.7,neutral,Demo internal review summary
r270,v133,m7,2025-05-17,4.8,positive,Demo internal review summary
r273,v76,m6,2025-06-06,2.0,negative,Demo internal review summary
r276,v104,m1,2025-07-06,4.9,positive,Demo internal review summary
r279,v94,m7,2025-07-05,4.1,positive,Demo internal review summary
r282,v72,m6,2025-05-08,2.9,negative,Demo internal review summary
r285,v74,m5,2025-12-22,3.9,neutral,Demo internal review summary
r288,v139,m5,2025-05-29,4.1,positive,Demo internal review summary
r291,v142,m3,2025-10-21,4.6,positive,Demo internal review summary
r294,v33,m1,2025-06-12,5,positive,Demo internal review summary
r297,v32,m7,2025-09-23,4.5,positive,Demo internal review summary
r300,v78,m2,2025-11-11,5,positive,Demo internal review summary
r303,v12,m1,2025-11-25,4.0,positive,Demo internal review summary
r306,v77,m4,2025-08-21,2.0,negative,Demo internal review summary
r309,v89,m6,2025-07-24,2.5,negative,Demo internal review summary
r312,v108,m7,2025-05-08,3.8,neutral,Demo internal review summary
r315,v79,m4,2025-09-12,1.4,negative,Demo internal review summary
r318,v35,m4,2025-05-16,2.8,negative,Demo internal review summary
r321,v116,m5,2025-10-09,3.7,neutral,Demo internal review summary
r324,v129,m4,2025-01-21,2.5,negative,Demo internal review summary
r327,v42,m3,2025-07-21,4.2,positive,Demo internal review summary
r330,v107,m1,2025-10-26,3.9,neutral,Demo internal review summary
r333,v123,m5,2025-03-29,3.0,neutral,Demo internal review summary
r336,v106,m2,2025-12-20,3.4,neutral,Demo internal review summary
r339,v97,m5,2025-06-10,4.2,positive,Demo internal review summary
r342,v74,m7,2025-12-27,3.5,neutral,Demo internal review summary
r345,v102,m4,2025-06-26,2.7,negative,Demo internal review summary
r348,v144,m3,2025-12-23,4.2,positive,Demo internal review summary
r351,v121,m6,2025-02-21,3.5,neutral,Demo internal review summary
r354,v23,m1,2025-11-30,4.5,positive,Demo internal review summary
r357,v75,m7,2025-01-20,2.8,negative,Demo internal review summary
r360,v50,m3,2025-02-27,3.0,neutral,Demo internal review summary
r363,v104,m2,2025-08-07,3.9,neutral,Demo internal review summary
r366,v78,m3,2025-10-26,3.9,neutral,Demo internal review summary
r369,v80,m5,2025-12-20,3.5,neutral,Demo internal review summary
r372,v138,m7,2025-12-07,4.1,positive,Demo internal review summary
r375,v52,m5,2025-10-21,3.5,neutral,Demo internal review summary
r378,v145,m4,2025-01-30,3.4,neutral,Demo internal review summary
r381,v17,m3,2025-10-05,4.4,positive,Demo internal review summary
r384,v97,m4,2025-07-12,2.7,negative,Demo internal review summary
r387,v58,m6,2025-01-02,1.9,negative,Demo internal review summary
r390,v29,m7,2025-01-17,4.0,positive,Demo internal review summary
r393,v13,m7,2025-05-06,3.2,neutral,Demo internal review summary
r396,v83,m7,2025-05-02,4.1,positive,Demo internal review summary
r399,v110,m6,2025-10-12,3.6,neutral,Demo internal review summary
r402,v62,m4,2025-04-26,2.5,negative,Demo internal review summary
r405,v85,m2,2025-11-28,4.2,positive,Demo internal review summary
r408,v144,m6,2025-04-22,2.6,negative,Demo internal review summary
r411,v102,m2,2025-05-03,3.6,neutral,Demo internal review summary
