activity_id,viewer_id,movie_id,watch_date,minutes_watched,completed,device
a1,v18,m3,2025-05-23,58.6,0,Web
a2,v138,m4,2025-06-19,92.5,1,TV
a3,v46,m3,2025-10-25,125.9,1,Mobile
a4,v81,m3,2025-08-12,86.7,1,Web
a5,v99,m1,2025-10-23,59.3,0,TV
a6,v112,m6,2025-01-01,57.9,0,Web
a7,v51,m6,2025-07-06,50.6,0,Web
a8,v81,m3,2025-12-06,113.3,1,Web
a9,v130,m3,2025-06-08,93.4,1,Mobile
a10,v50,m2,2025-08-04,135.1,1,Mobile
a11,v45,m6,2025-11-12,62.0,0,Mobile
a12,v1,m5,2025-06-05,51.6,0,Mobile
a13,v149,m7,2025-11-07,92.0,1,Mobile
a14,v114,m4,2025-12-12,32.6,0,Mobile
a15,v44,m7,2025-12-04,29.3,0,Web
a16,v61,m1,2025-12-11,78.5,0,TV
a17,v7,m2,2025-01-24,68.1,0,Mobile
a18,v19,m5,2025-08-22,65.6,0,Web
a19,v50,m5,2025-12-23,62.2,0,Mobile
a20,v38,m2,2025-12-02,138.7,1,TV
a21,v109,m7,2025-04-23,39.3,0,Web
a22,v32,m2,2025-08-22,50.3,0,Mobile
a23,v136,m6,2025-10-14,64.1,0,Mobile
a24,v130,m5,2025-08-07,111.4,1,Web
a25,v41,m4,2025-09-01,52.1,0,TV
a26,v71,m7,2025-09-24,73.3,0,TV
a27,v113,m3,2025-02-09,98.5,1,TV
a28,v21,m5,2025-03-12,36.6,0,Mobile
a29,v40,m6,2025-12-28,32.7,0,Mobile
a30,v85,m4,2025-10-05,53.4,0,TV
a31,v108,m2,2025-07-19,173.3,1,Web
a32,v6,m6,2025-10-22,46.4,0,TV
a33,v77,m3,2025-07-19,113.9,1,Mobile
a34,v57,m7,2025-09-07,44.1,0,Mobile
a35,v8,m4,2025-07-19,42.7,0,Web
a36,v104,m7,2025-03-26,112.5,1,TV
a37,v137,m5,2025-01-14,119.8,1,Web
a38,v7,m5,2025-02-12,90.7,1,TV
a39,v119,m7,2025-04-04,25.5,0,Mobile
a40,v98,m3,2025-05-23,102.7,1,Mobile
a41,v21,m3,2025-08-29,22.1,0,Web
a42,v90,m1,2025-04-25,132.7,1,Web
a43,v8,m1,2025-05-07,60.8,0,TV
a44,v40,m5,2025-05-03,33.9,0,Web
a45,v145,m1,2025-04-22,103.2,1,Mobile
a46,v30,m5,2025-03-25,126.1,1,TV
a47,v7,m5,2025-06-09,83.3,0,Mobile
a48,v51,m4,2025-02-08,63.8,0,Web
a49,v27,m2,2025-12-23,152.2,1,Web
a50,v31,m5,2025-10-17,106.1,1,Mobile
a51,v110,m5,2025-12-05,60.8,0,Web
a52,v126,m4,2025-02-24,50.8,0,Mobile
a53,v118,m6,2025-12-29,27.6,0,TV
a54,v134,m6,2025-11-30,37.3,0,Web
a55,v124,m7,2025-08-27,67.9,0,Web
a56,v69,m5,2025-06-15,113.7,1,TV
a57,v116,m3,2025-05-05,102.6,1,Web
a58,v127,m1,2025-06-16,58.0,0,TV
a59,v67,m3,2025-06-24,50.8,0,Web
a60,v71,m6,2025-10-12,15.8,0,TV
a61,v62,m1,2025-07-28,106.9,1,TV
a62,v122,m6,2025-11-27,73.7,0,Mobile
a63,v5,m7,2025-02-17,52.4,0,Mobile
a64,v95,m5,2025-08-31,80.9,0,Mobile
a65,v141,m4,2025-06-19,44.0,0,Mobile
a66,v79,m3,2025-05-09,45.4,0,Web
a67,v81,m2,2025-03-03,147.5,1,Web
a68,v50,m2,2025-04-21,146.8,1,Mobile
a69,v135,m6,2025-11-02,38.3,0,TV
a70,v46,m3,2025-06-04,21.6,0,Web
a71,v71,m2,2025-01-24,184.4,1,Web
a72,v33,m3,2025-11-23,115.5,1,Mobile
a73,v4,m1,2025-10-21,74.4,0,Mobile
a74,v88,m4,2025-04-05,94.7,1,Mobile
a75,v123,m7,2025-02-28,110.4,1,Mobile
a76,v14,m6,2025-03-19,27.3,0,Web
a77,v22,m3,2025-05-08,33.0,0,Mobile
a78,v58,m5,2025-09-25,61.8,0,Mobile
a79,v110,m3,2025-06-06,82.5,0,TV
a80,v26,m5,2025-04-17,88.8,1,Mobile
a81,v21,m6,2025-03-22,34.8,0,Web
a82,v121,m4,2025-05-30,17.7,0,Mobile
a83,v73,m6,2025-12-26,85.9,1,TV
a84,v60,m6,2025-05-16,80.0,0,Web
a85,v51,m5,2025-08-06,32.6,0,TV
a86,v39,m6,2025-05-17,83.2,0,TV
a87,v43,m1,2025-06-07,123.9,1,Web
a88,v78,m4,2025-12-25,48.2,0,Mobile
a89,v139,m5,2025-09-10,68.2,0,Web
a90,v111,m1,2025-06-15,125.3,1,TV
a91,v59,m1,2025-12-12,162.3,1,Web
a92,v6,m5,2025-12-11,110.4,1,Web
a93,v45,m1,2025-08-29,111.8,1,Mobile
a94,v112,m5,2025-11-22,109.6,1,TV
a95,v90,m4,2025-07-29,42.5,0,Web
a96,v42,m1,2025-06-18,94.7,1,Mobile
a97,v103,m3,2025-10-09,24.0,0,TV
a98,v65,m3,2025-06-15,32.8,0,Mobile
a99,v132,m7,2025-01-01,92.3,1,Web
a100,v93,m5,2025-11-15,103.2,1,Web
a101,v14,m4,2025-04-15,37.0,0,TV
a102,v113,m3,2025-12-24,73.3,0,TV
a103,v62,m6,2025-12-30,28.1,0,Web
a104,v142,m1,2025-07-28,43.9,0,TV
a105,v31,m4,2025-11-28,83.7,0,Mobile
a106,v70,m6,2025-08-01,83.9,0,Mobile
a107,v117,m2,2025-10-10,52.1,0,TV
a108,v131,m5,2025-03-11,115.0,1,Mobile
a109,v107,m7,2025-06-24,122.8,1,Web
a110,v1,m3,2025-05-25,99.9,1,Web
a111,v126,m5,2025-03-18,69.1,0,Mobile
a112,v97,m5,2025-08-22,122.6,1,TV
a113,v62,m6,2025-10-20,46.6,0,Mobile
a114,v82,m1,2025-08-31,141.5,1,Mobile
a115,v39,m4,2025-09-11,94.6,1,TV
a116,v85,m5,2025-02-21,116.2,1,Mobile
a117,v135,m1,2025-08-22,31.4,0,TV
a118,v20,m2,2025-08-29,153.7,1,Mobile
a119,v102,m3,2025-11-29,28.8,0,Mobile
a120,v137,m7,2025-07-14,125.0,1,Web
a121,v125,m6,2025-10-05,18.0,0,TV
a122,v74,m2,2025-04-27,148.1,1,Mobile
a123,v26,m1,2025-08-16,55.5,0,Mobile
a124,v15,m7,2025-05-31,59.4,0,Mobile
a125,v63,m2,2025-09-29,94.7,1,Web
a126,v47,m7,2025-03-29,39.3,0,Web
a127,v98,m7,2025-11-14,95.1,1,Mobile
a128,v37,m5,2025-04-29,70.7,0,Mobile
a129,v66,m4,2025-12-08,15.8,0,Mobile
a130,v19,m2,2025-08-15,179.8,1,Web
a131,v109,m3,2025-12-20,47.5,0,Mobile
a132,v99,m2,2025-09-05,46.0,0,Mobile
a133,v92,m5,2025-10-22,52.5,0,Web
a134,v6,m3,2025-12-04,63.5,0,TV
a135,v13,m5,2025-11-07,102.0,1,Mobile
a136,v91,m7,2025-04-23,90.0,1,Web
a137,v36,m3,2025-11-18,30.7,0,Web
a138,v11,m6,2025-06-08,80.1,0,TV
a139,v94,m5,2025-03-09,29.9,0,Mobile
a140,v107,m3,2025-03-31,42.1,0,Web
a141,v136,m3,2025-09-14,120.5,1,TV
a142,v76,m4,2025-06-23,81.3,0,Mobile
a143,v37,m1,2025-04-26,166.2,1,Web
a144,v102,m6,2025-10-13,45.2,0,Mobile
a145,v68,m1,2025-10-02,48.7,0,Mobile
a146,v68,m6,2025-10-27,46.4,0,Web
a147,v28,m3,2025-12-12,45.7,0,TV
a148,v57,m3,2025-11-28,27.0,0,Mobile
a149,v78,m6,2025-11-29,48.7,0,TV
a150,v10,m1,2025-06-05,187.9,1,TV
a151,v61,m1,2025-10-03,50.6,0,Mobile
a152,v139,m3,2025-08-03,84.6,0,Web
a153,v107,m2,2025-12-02,44.8,0,Mobile
a154,v9,m3,2025-12-20,60.8,0,Mobile
a155,v61,m4,2025-07-05,23.2,0,Web
a156,v140,m3,2025-11-27,59.5,0,Mobile
a157,v49,m3,2025-03-04,124.4,1,Mobile
a158,v55,m1,2025-11-25,131.0,1,TV
a159,v86,m1,2025-05-05,186.7,1,Web
a160,v54,m5,2025-10-28,43.8,0,TV
a161,v38,m3,2025-11-02,20.3,0,TV
a162,v139,m2,2025-05-09,156.4,1,TV
a163,v7,m6,2025-03-09,16.2,0,TV
a164,v83,m5,2025-01-09,39.2,0,TV
a165,v108,m2,2025-09-27,47.1,0,TV
a166,v28,m5,2025-08-20,75.4,0,Web
a167,v134,m1,2025-06-04,102.1,1,TV
a168,v123,m1,2025-07-25,97.0,1,TV
a169,v114,m4,2025-02-07,89.2,1,Mobile
a170,v38,m5,2025-02-03,33.9,0,Web
a171,v150,m6,2025-10-08,73.8,0,Mobile
a172,v130,m4,2025-11-06,50.5,0,Web
a173,v142,m1,2025-04-21,97.6,1,TV
a174,v87,m4,2025-08-21,47.9,0,Web
a175,v81,m1,2025-08-07,78.8,0,Mobile
a176,v40,m3,2025-12-18,121.5,1,TV
a177,v22,m1,2025-02-17,97.9,1,Web
a178,v16,m5,2025-10-28,125.2,1,Web
a179,v32,m3,2025-07-30,58.9,0,Web
a180,v109,m7,2025-01-27,126.5,1,Web
a181,v91,m3,2025-02-23,83.6,0,TV
a182,v124,m2,2025-04-25,164.1,1,Mobile
a183,v143,m7,2025-07-08,32.6,0,Mobile
a184,v144,m7,2025-11-15,87.5,1,Web
a185,v7,m5,2025-11-08,122.2,1,Web
a186,v8,m3,2025-04-03,50.1,0,Mobile
a187,v90,m3,2025-01-04,40.0,0,TV
a188,v103,m5,2025-02-05,35.6,0,Web
a189,v24,m1,2025-09-29,63.3,0,Mobile
a190,v84,m3,2025-10-18,85.6,1,TV
a191,v41,m2,2025-11-13,36.9,0,TV
a192,v114,m3,2025-12-05,66.6,0,Web
a193,v107,m4,2025-05-20,32.8,0,Web
a194,v89,m1,2025-08-09,46.7,0,Web
a195,v125,m6,2025-09-27,70.0,0,TV
a196,v2,m1,2025-04-15,77.1,0,TV
a197,v36,m7,2025-05-11,51.8,0,TV
a198,v128,m1,2025-08-09,57.0,0,Mobile
a199,v59,m5,2025-09-14,81.5,0,Web
a200,v91,m7,2025-02-06,63.7,0,Web
a201,v112,m1,2025-01-10,102.3,1,TV
a202,v104,m5,2025-12-30,90.4,1,Mobile
a203,v104,m1,2025-01-11,183.1,1,TV
a204,v118,m7,2025-12-20,121.2,1,TV
a205,v28,m4,2025-05-05,50.9,0,Mobile
a206,v21,m5,2025-07-22,115.8,1,Web
a207,v57,m3,2025-06-20,105.7,1,TV
a208,v50,m5,2025-06-28,58.6,0,Web
a209,v38,m7,2025-05-01,31.3,0,Mobile
a210,v45,m2,2025-11-05,53.4,0,Web
a211,v46,m1,2025-11-18,107.8,1,Web
a212,v149,m7,2025-08-18,94.9,1,Web
a213,v83,m6,2025-11-18,41.1,0,Mobile
a214,v71,m3,2025-10-30,26.2,0,Web
a215,v80,m1,2025-08-25,101.1,1,TV
a216,v74,m3,2025-02-09,90.9,1,TV
a217,v130,m5,2025-07-16,70.9,0,Web
a218,v11,m7,2025-08-19,120.0,1,Web
a219,v49,m6,2025-06-14,64.9,0,Web
